Name;FMISID;LPNN;WMO;Lat;Lon;Elevation;Groups;Started
Imatra Teppanala;103122;;;61.15;28.81;62;air quality (urban);1994
Inari Angeli Lintupuoliselkä;102026;9405;2857;68.9;25.74;285;weather;2008
Inari Ivalo airport;102033;9601;2807;68.61;27.42;140;weather;1957
Inari Kaamanen;102047;9616;2702;69.14;27.27;156;weather;2008
Inari Kirakkajärvi;102055;9708;2858;69.58;28.89;106;weather;2009
Inari Nellim;102052;9705;2835;68.85;28.3;121;weather;1990
Inari Raja-Jooseppi;102009;8704;2818;68.48;28.3;253;weather, air quality (FMI);1992
Inari Raja-Jooseppi Kontiojärvi;102008;8702;;68.47;28.32;185;precipitation;1960
Inari Saariselkä Kaunispää;102006;8607;2817;68.43;27.44;437;weather;1995
Inari Saariselkä tourist centre;102005;8606;2722;68.42;27.41;302;weather;1976
Inari Seitalaassa;129963;9617;2888;69.05;27.76;120;weather;2011
Inari Väylä;102042;9611;2827;69.07;27.49;123;weather;1990
Inari parish;102046;9615;;68.91;27.02;127;precipitation;2003
Inkoo Bågaskär;100969;302;2984;59.93;24.01;13;weather;1954
Isojoki Kärjenkoski;101258;2004;;62.13;21.7;58;precipitation;1942
Joensuu Huhtilampi;101460;2903;;62.43;30.41;140;precipitation;1956
Joensuu Koskikatu 1;103148;;;62.6;29.76;80;air quality (urban);2003
Joensuu Linnunlahti;101632;3825;2928;62.6;29.72;81;weather;2008
Joensuu Pyhäselkä;101610;3803;;62.52;29.81;79;precipitation;1908
Jokioinen Ilmala;101104;1201;2963;60.81;23.5;104;weather, sounding;1957
Jomala Jomalaby;100917;11;2741;60.18;19.99;11;weather;1971
Jomala Mariehamn airport;100907;1;2970;60.13;19.9;2;weather;1950
Joutsa Pärnämäki;101390;2525;;61.77;26.39;116;precipitation;1969
Joutsa Savenaho;101367;2501;2771;61.88;26.09;145;weather;1946
Juuka Niemelä;101609;3802;2791;63.23;29.23;115;weather;1914
Juupajoki Hyytiälä;101317;2303;2770;61.85;24.29;154;weather, precipitation, air quality (FMI);1956
Juva Partala;101418;2622;2736;61.89;27.89;110;weather;1992
Jyväskylä Hannikaisenkatu;106796;;;62.24;25.75;82;air quality (urban);2018
Jyväskylä Muuratjärvi;101352;2414;;62.16;25.42;123;precipitation;1958
Jyväskylä Palokka 2;103128;;;62.29;25.71;143;air quality (urban);2000
Jyväskylä airport;101339;2401;2935;62.4;25.67;139;weather;1945
Jyväskylä airport AWOS;137208;;;62.39;25.69;124;weather;1999
Jämsä Halli Lentoasemantie;101338;2324;2946;61.86;24.81;144;weather;2008
Jämsä Halli airport;101315;2301;2945;61.86;24.8;144;weather;1964
Jämsä Lääkäritalo;104113;;;61.87;25.2;82;air quality (urban);1978
Jämsä Seppolantie;103129;;;61.87;25.2;90;air quality (urban);2013
Järvenpää Helsingintie;103154;;;60.47;25.09;40;air quality (urban);2012
Järvenpää Sorto;103786;;;60.48;25.08;51;weather;2015
Kaarina Kaarina;100823;;;60.41;22.38;13;air quality (urban);2004
Kaarina Yltöinen;100934;103;2828;60.39;22.55;6;weather;1927
Kajaani Paltaniemi;101742;4618;;64.29;27.64;128;precipitation;2000
Kajaani Petäisenniska;126736;4620;2883;64.22;27.75;160;weather;2010
Kajaani airport;101725;4601;2897;64.28;27.67;132;weather;1956
Kalajoki Maakalla;103808;;;64.29;23.55;;buoy;2015
Kalajoki Mehtäkylä;101685;4310;;64.27;24.21;40;precipitation;1961
Kalajoki Pitkäsenkylä;101683;4308;;64.23;24.02;18;precipitation;1958
Kalajoki Ulkokalla;101673;4212;2907;64.33;23.45;3;weather;1977
Kangasniemi parish;101385;2520;;61.98;26.64;105;precipitation;1909
Kankaanpää Niinisalo airfield;101291;2123;2753;61.84;22.46;123;weather;1998
Karvia Alkkia;101272;2103;2708;62.18;22.8;162;weather;1966
Kaskinen Sälgrund;101256;2002;2931;62.33;21.19;5;weather;1876
Kaskinen Ådskär;134251;;;62.34;21.21;;mareograph;1926
Kauhajoki Kuja-Kokko;101289;2121;2769;62.41;22.18;93;weather;1986
Kauhava airfield;101503;3201;2913;63.12;23.04;42;weather;1931
Kaustinen Tastula;101665;4204;;63.59;23.72;74;precipitation;1925
Kemi Ajos;101846;6307;2862;65.67;24.52;2;weather;1973
Kemi Ajos;100539;;;65.67;24.52;;mareograph;1922
Kemi I lighthouse;101783;5309;2863;65.39;24.1;0;weather;1978
Kemi Kemi-Tornio airport;101840;6301;2864;65.79;24.58;11;weather;1945
Kemi Keskusta;107218;;;65.73;24.56;10;air quality (urban);2020
Kemijärvi airfield;101950;7607;2814;66.72;27.16;208;weather;2006
Kemiönsaari Kalvören;654923;;;59.9;22.63;;buoy;2013
Kemiönsaari Kemiö;100951;120;2906;60.17;22.76;12;weather;2009
Kemiönsaari Vänö;100945;114;2743;59.87;22.19;10;weather;1990
Kirkkonummi Mäkiluoto;100997;331;2794;59.92;24.35;2;weather;1989
Kirkkonummi keskusta;106953;;;60.13;24.43;21;air quality (urban);2019
Kitee Kesälahti;100690;;2995;61.91;29.8;174;radar;2014
Kittilä Alakylä;101918;7311;;67.26;24.97;190;precipitation;2003
Kittilä Kenttärova;101987;8312;2824;67.99;24.24;347;weather;2002
Kittilä Lompolonvuoma;778135;8303;2764;68;24.21;270;weather;2013
Kittilä Matorova;101985;8310;2882;68;24.24;340;weather, air quality (FMI);1995
Kittilä Pokka;101994;8404;2717;68.17;25.78;276;weather;1971
Kittilä Pulju;101980;8305;;68.23;24.83;277;precipitation;1974
Kittilä parish;101990;8315;2860;67.65;24.9;181;weather;2009
Kittilä airport;101986;8311;2720;67.69;24.86;195;weather;1999
Kiuruvesi Korpijoki;101712;4504;;63.73;26.37;110;precipitation;1958
Kokemäki Rausenkulma;101068;1104;2762;61.26;22.23;38;precipitation;1931
Kokemäki Tulkkila;101103;1140;2937;61.25;22.35;38;weather;2010
Kokkola Santahaka;101675;4214;2852;63.84;23.1;5;weather;2007
Kokkola Tankar;101661;4109;2721;63.95;22.85;5;weather;1996
Kokkola Ykspihlaja;103108;;;63.84;23.04;7;air quality (urban);1990
Kokkola keskusta Pitkänsillankatu;103107;;;63.84;23.13;10;air quality (urban);1998
Kolari Kattilamaa;101913;7306;;67.38;24.01;173;precipitation;1968
Korsnäs Bredskäret;101479;3018;2780;62.93;21.19;1;weather;1991
Kotka Haapasaari;101042;601;2967;60.29;27.18;4;weather;1986
Kotka Kirjastotalo;103105;;;60.47;26.94;25;air quality (urban);1983
Kotka Kuusenkari;100761;;;60.27;27.11;;buoy;2014
Kotka Metsäkulma/siirrettävä;107167;;;60.5;26.97;4;air quality (urban);2020
Kotka Mussalo satama/siirrettävä;107164;;;60.43;26.92;4;air quality (urban);2019
Kotka Rankki;101030;501;2976;60.38;26.96;11;weather;1933
Kotka Rauhala;103106;;;60.51;26.95;6;air quality (urban);1999
Kouvola Anjala;101194;1504;2830;60.7;26.81;31;weather;1941
