Name;FMISID;LPNN;WMO;Lat;Lon;Elevation;Groups;Started
Siuntio Sjundby;105302;321;;60.14;24.26;26;precipitation;1995
Sodankylä Heikinheimo-masto;101942;7511;2742;67.36;26.64;179;air quality (FMI);2000
Sodankylä Lokka;102000;8601;2719;67.82;27.75;240;weather;1958
Sodankylä Luosto;101939;7508;2840;67.14;26.9;532;radar;2000
Sodankylä Tähtelä;101932;7501;2836;67.37;26.63;179;weather, sounding, air quality (FMI);1891
Sodankylä Vuotso;102001;8602;2816;68.08;27.19;247;weather;1958
Somero Salkola;101128;1227;2949;60.65;23.81;142;weather;2010
Sotkamo Kuolaniemi;101756;4714;2739;64.11;28.34;161;weather;1989
Sotkamo Tuhkakylä;107113;;;64;28.06;212;weather;2019
Sulkava Halttula;101425;2704;;61.92;28.32;109;precipitation;1933
Gulf of Finland wavebuoy;134221;;;59.97;25.24;0;buoy;1990
Suomussalmi Näljänkä;101822;5707;;65.24;28.45;251;precipitation;1970
Suomussalmi Pesiö;101826;5711;2889;64.93;28.75;222;weather, precipitation;1981
Suonenjoki Iisvesi;101578;3609;;62.67;27.04;103;precipitation;1978
Sysmä Joutsjärvi;101342;2404;;61.51;25.81;91;precipitation;1947
Taivalkoski Inkee;101882;6704;;65.73;28.56;247;precipitation;1968
Taivalkoski parish;101885;6707;2804;65.57;28.22;197;weather;2002
Tampere Epila 2;103096;;;61.51;23.68;100;air quality (urban);2009
Tampere Härmälä;101124;1222;2763;61.47;23.75;85;weather;1997
Tampere Kaleva;103097;;;61.5;23.8;109;air quality (urban);2009
Tampere Linja-autoasema;103098;;;61.49;23.77;80;air quality (urban);2008
Tampere Pirkankatu;103099;;;61.5;23.74;120;air quality (urban);2003
Tampere Siilinkari;101311;2219;2943;61.52;23.75;96;weather;1989
Tampere Tampella;151049;2223;2744;61.5;23.76;91;weather;2012
Tervola Loue;107201;6313;;66.15;24.99;38;weather;2020
Teuva Kauppilankylä;101262;2008;;62.49;21.76;60;precipitation;1960
Tohmajärvi Kemie;101459;2902;2832;62.24;30.35;91;weather;1925
Toholampi Laitala;101689;4314;2737;63.82;24.16;84;weather;1988
Toholampi Oravala;101679;4304;;63.77;24.28;85;precipitation;1926
Tornio Keskusta;107142;;;65.84;24.15;8;air quality (urban);2019
Tornio Näätsaari;107141;;;65.82;24.16;8;air quality (urban);2019
Tornio Torppi;101851;6312;2880;65.85;24.17;8;weather;2008
Turku Artukainen;100949;118;2773;60.45;22.18;8;weather;2003
Turku Kauppatori väliaikainen;106797;;;60.45;22.27;6;air quality (urban);2018
Turku Rajakari;100947;116;2747;60.38;22.1;3;weather;1991
Turku Ruissalo Saaronniemi;134225;;;60.43;22.1;0;mareograph;1922
Turku Ruissalo Saarontie;100845;;;60.43;22.1;6;air quality (urban);1999
Turku airport;101065;1101;2972;60.52;22.28;45;weather;1955
Utajärvi Korkiakangas;101872;6513;2870;64.77;26.32;118;radar;1997
Utajärvi Särkijärvi;101809;5604;;64.93;27.19;130;precipitation;1916
Utsjoki Kevo;102035;9603;2805;69.76;27.01;107;weather, air quality (FMI);1962
Utsjoki Kevo Kevojärvi;126737;9618;2890;69.76;27.01;76;weather;2010
Utsjoki Nuorgam;102036;9604;2825;70.08;27.9;22;weather;1929
Uusikaupunki Itätulli;101049;1006;;60.8;21.42;7;precipitation;1908
Uusikaupunki Vekara;106631;;;60.87;21.05;0;buoy;2017
Vaala Pelso;101800;5502;2714;64.5;26.42;113;weather;1943
Vaasa Klemettilä;101485;3024;2957;63.1;21.64;7;weather;2010
Vaasa Vaskiluoto;134223;;;63.08;21.57;0;mareograph;1922
Vaasa Vesitorni;103103;;;63.1;21.6;16;air quality (urban);2006
Vaasa keskusta Vaasanpuistikko;103104;;;63.1;21.62;15;air quality (urban);2001
Vaasa airport;101462;3001;2911;63.06;21.75;4;weather;1946
Vantaa Helsinki-Vantaa airport;100968;301;2974;60.33;24.96;51;weather;1952
Vantaa Kaivoksela;101001;335;2975;60.27;24.87;83;radar;1994
Vantaa Kehä III Varisto;104076;;;60.28;24.82;32;air quality (urban);2013
Vantaa Tikkurila Neilikkatie;100763;;;60.29;25.04;21;air quality (urban);1996
Vantaa Tikkurila Talvikkitie;106951;;;60.3;25.03;17;air quality (urban);2019
Varkaus Kommila terveyskeskus;107063;;;62.33;27.89;88;air quality (urban);2019
Varkaus Kosulanniemi;101421;2625;2850;62.32;27.91;83;weather;2007
Varkaus Kosulanniemi Rantalankatu;106417;;;62.32;27.91;85;air quality (urban);2016
Varkaus Psaari 2;103100;;;62.31;27.89;80;air quality (urban);2003
Varkaus Taulumäki (toripaviljonki);103102;;;62.32;27.87;86;air quality (urban);2001
Varkaus kaupungintalo;104188;;;62.31;27.89;78;air quality (urban);1991
Vesanto parish;101555;3502;2710;62.92;26.42;121;weather;1908
Vieremä Kaarakkala;101726;4602;2834;63.84;27.22;206;weather, precipitation;1937
Vihti Hiiskula;101135;1307;;60.52;24.52;100;precipitation;1924
Vihti Maasoja;100976;309;2758;60.42;24.4;39;weather;1938
Viitasaari Haapaniemi;101537;3401;2915;63.08;25.86;130;weather;1969
Viitasaari Kärnä;101545;3409;;63.17;25.94;115;precipitation;1960
Vimpeli Lakeaharju;101518;3217;2925;63.1;23.82;198;radar;2005
Virolahti Koivuniemi;101231;1612;2831;60.53;27.67;5;weather, precipitation;1976
Virolahti Koivuniemi Ääpälä;100656;;;60.53;27.68;5;air quality (FMI);2013
Virrat Äijänneva;101310;2218;2735;62.33;23.54;138;weather;1986
Ylitornio Meltosjärvi;101908;7301;2812;66.53;24.65;93;weather;1937
Ylivieska Vähäkangas;101691;4316;;64.07;24.68;75;precipitation;2000
Ylivieska airfield;101690;4315;2755;64.05;24.72;76;weather;2000
Ähtäri Inha;101520;3301;2924;62.55;24.14;161;weather;1912
Äänekoski Hiski;103151;;;62.6;25.74;110;air quality (urban);2004
Äänekoski Kalaniemi;101541;3405;;62.88;25.86;107;precipitation;1956
Äänekoski Paloasema;107168;;;62.6;25.74;;air quality (urban);2020
